%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:39:16:691;08:39:16:682;1448308516.26;(0.46501760482788085, 0.3752855512830946);48.485874176;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:724;08:39:16:682;1448308516.26;(0.46501760482788085, 0.3752855512830946);48.485874176;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:741;08:39:16:682;1448308516.26;(0.46501760482788085, 0.3752855512830946);48.485874176;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:758;08:39:16:745;1448308516.33;(0.4659224033355713, 0.3737602657741971);48.7329711914;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:775;08:39:16:745;1448308516.33;(0.4659224033355713, 0.3737602657741971);48.7329711914;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:791;08:39:16:745;1448308516.33;(0.4659224033355713, 0.3737602657741971);48.7329711914;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:825;08:39:16:812;1448308516.39;(0.46629786491394043, 0.3730379316541884);48.68699646;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:841;08:39:16:812;1448308516.39;(0.46629786491394043, 0.3730379316541884);48.68699646;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:858;08:39:16:812;1448308516.39;(0.46629786491394043, 0.3730379316541884);48.68699646;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:875;08:39:16:812;1448308516.39;(0.46629786491394043, 0.3730379316541884);48.68699646;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:891;08:39:16:879;1448308516.46;(0.4668022632598877, 0.3727290683322483);48.6098594666;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:924;08:39:16:879;1448308516.46;(0.4668022632598877, 0.3727290683322483);48.6098594666;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:941;08:39:16:879;1448308516.46;(0.4668022632598877, 0.3727290683322483);48.6098594666;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:957;08:39:16:945;1448308516.53;(0.4665230274200439, 0.3727173699273003);48.9852027893;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:974;08:39:16:945;1448308516.53;(0.4665230274200439, 0.3727173699273003);48.9852027893;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:991;08:39:16:945;1448308516.53;(0.4665230274200439, 0.3727173699273003);48.9852027893;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:025;08:39:17:008;1448308516.59;(0.4706143379211426, 0.3710672590467665);49.3980484009;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:042;08:39:17:008;1448308516.59;(0.4706143379211426, 0.3710672590467665);49.3980484009;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:058;08:39:17:008;1448308516.59;(0.4706143379211426, 0.3710672590467665);49.3980484009;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:075;08:39:17:008;1448308516.59;(0.4706143379211426, 0.3710672590467665);49.3980484009;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:091;08:39:17:078;1448308516.66;(0.47090973854064944, 0.3705163743760851);49.5089569092;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:125;08:39:17:078;1448308516.66;(0.47090973854064944, 0.3705163743760851);49.5089569092;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:142;08:39:17:078;1448308516.66;(0.47090973854064944, 0.3705163743760851);49.5089569092;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:158;08:39:17:145;1448308516.73;(0.4712423324584961, 0.37017894321017797);49.0275764465;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:175;08:39:17:145;1448308516.73;(0.4712423324584961, 0.37017894321017797);49.0275764465;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:17:191;08:39:17:145;1448308516.73;(0.4712423324584961, 0.37017894321017797);49.0275764465;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
