%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:29:078;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:080;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:082;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:084;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:085;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:089;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:109;;;;;;;;;;;;;;06:40:29:103;1447954826.89;(0.3207958936691284, 0.24335742526584203);26.483379364;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:122;;;;;;;;;;;;;;06:40:29:103;1447954826.89;(0.3207958936691284, 0.24335742526584203);26.483379364;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:139;;;;;;;;;;;;;;06:40:29:103;1447954826.89;(0.3207958936691284, 0.24335742526584203);26.483379364;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:184;;;;;;;;;;;;;;06:40:29:103;1447954826.89;(0.3207958936691284, 0.24335742526584203);26.483379364;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:186;;;;;;;;;;;;;;06:40:29:186;1447954826.96;(0.32057459354400636, 0.24322255452473962);26.7855205536;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:207;;;;;;;;;;;;;;06:40:29:186;1447954826.96;(0.32057459354400636, 0.24322255452473962);26.7855205536;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:227;;;;;;;;;;;;;;06:40:29:186;1447954826.96;(0.32057459354400636, 0.24322255452473962);26.7855205536;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:249;;;;;;;;;;;;;;06:40:29:230;1447954827.03;(0.3206592559814453, 0.24331080118815107);26.0967941284;0.967157454612;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:269;;;;;;;;;;;;;;06:40:29:230;1447954827.03;(0.3206592559814453, 0.24331080118815107);26.0967941284;0.967157454612;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:324;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
