%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:55:29:248;1448061086.68;(0.4246788024902344, 0.6765967263115777);64.4033050537;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
11:55:29:276;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:277;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:278;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:279;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:281;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:282;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:291;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:324;11:55:29:308;1448061086.78;(0.42155706882476807, 0.6782566918267143);64.1633758545;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:340;11:55:29:308;1448061086.78;(0.42155706882476807, 0.6782566918267143);64.1633758545;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:357;11:55:29:308;1448061086.78;(0.42155706882476807, 0.6782566918267143);64.1633758545;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:374;11:55:29:372;1448061086.85;(0.42066230773925783, 0.6796354293823242);63.3972473145;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:391;11:55:29:372;1448061086.85;(0.42066230773925783, 0.6796354293823242);63.3972473145;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:262;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:264;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:267;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:269;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:271;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:274;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:276;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:34:279;11:55:34:244;1448061091.71;(0.4449187755584717, 0.6457101398044163);62.4426689148;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
