%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:38:34:320;08:38:34:261;1448308473.83;(0.5032841682434082, 0.36469870673285587);55.3483009338;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:337;08:38:34:328;1448308473.89;(0.5035187244415283, 0.36436343722873266);54.9530258179;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:354;08:38:34:328;1448308473.89;(0.5035187244415283, 0.36436343722873266);54.9530258179;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:370;08:38:34:328;1448308473.89;(0.5035187244415283, 0.36436343722873266);54.9530258179;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:387;08:38:34:328;1448308473.89;(0.5035187244415283, 0.36436343722873266);54.9530258179;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:420;08:38:34:393;1448308473.96;(0.5038357734680176, 0.364096917046441);54.6967658997;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:438;08:38:34:393;1448308473.96;(0.5038357734680176, 0.364096917046441);54.6967658997;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:454;08:38:34:393;1448308473.96;(0.5038357734680176, 0.364096917046441);54.6967658997;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:472;08:38:34:468;1448308474.03;(0.504057788848877, 0.36426989237467444);54.4427719116;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:487;08:38:34:470;1448308474.06;(0.5039609909057617, 0.3647723727756076);54.2392997742;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:521;08:38:34:470;1448308474.06;(0.5039609909057617, 0.3647723727756076);54.2392997742;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:537;08:38:34:523;1448308474.09;(0.5038730144500733, 0.36472502814398866);54.5278892517;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:554;08:38:34:523;1448308474.09;(0.5038730144500733, 0.36472502814398866);54.5278892517;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
