%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:47:28:374;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:376;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:377;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:378;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:379;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:381;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:383;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:402;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:419;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:454;08:47:28:422;1448480843.01;(0.6098903179168701, 0.43493304782443576);28.0811901093;0.689428569503;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:456;08:47:28:422;1448480843.01;(0.6098903179168701, 0.43493304782443576);28.0811901093;0.689428569503;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:499;08:47:28:477;1448480843.07;(0.28942954540252686, 0.4083399878607856);22.9166679382;0.842135608227;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:502;08:47:28:477;1448480843.07;(0.28942954540252686, 0.4083399878607856);22.9166679382;0.842135608227;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:520;08:47:28:477;1448480843.07;(0.28942954540252686, 0.4083399878607856);22.9166679382;0.842135608227;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:536;08:47:28:477;1448480843.07;(0.28942954540252686, 0.4083399878607856);22.9166679382;0.842135608227;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:554;08:47:28:537;1448480843.11;(0.4494602680206299, 0.48382042778862844);46.9666633606;0.622148724699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:587;08:47:28:537;1448480843.11;(0.4494602680206299, 0.48382042778862844);46.9666633606;0.622148724699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:605;08:47:28:593;1448480843.17;(0.4460390567779541, 0.5050582038031683);54.2736549377;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:620;08:47:28:593;1448480843.17;(0.4460390567779541, 0.5050582038031683);54.2736549377;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:637;08:47:28:593;1448480843.17;(0.4460390567779541, 0.5050582038031683);54.2736549377;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:654;08:47:28:653;1448480843.24;(0.4459993362426758, 0.5065256330702039);54.8834953308;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
