%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
10:57:32:301;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
10:57:32:306;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:308;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:342;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:344;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:346;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:348;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:350;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:352;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:354;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:356;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:359;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:361;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:363;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:365;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:367;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:371;10:57:34:369;1448057611.83;(0.5421871662139892, 0.5242530822753906);62.0419502258;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:373;10:57:34:369;1448057611.83;(0.5421871662139892, 0.5242530822753906);62.0419502258;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:387;10:57:34:369;1448057611.83;(0.5421871662139892, 0.5242530822753906);62.0419502258;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:404;10:57:34:369;1448057611.83;(0.5421871662139892, 0.5242530822753906);62.0419502258;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:421;10:57:34:369;1448057611.83;(0.5421871662139892, 0.5242530822753906);62.0419502258;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:437;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:470;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:487;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:503;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:520;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:553;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:570;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:587;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:604;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:619;10:57:34:433;1448057611.9;(0.5412897586822509, 0.5239246368408204);61.9188919067;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:653;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:669;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:686;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:702;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:718;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:752;10:57:34:637;1448057611.93;(0.5540279388427735, 0.52500245836046);61.9093322754;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:768;10:57:34:766;1448057612.25;(0.5491871356964111, 0.5226065317789714);63.0357017517;0.808957513739;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
