%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
08:14:19:999;1447960457.81;(0.3155250549316406, 0.25050650702582467);27.0847835541;1.0;2;0;0;0;0;();(0.0, 0.0);
08:14:25:558;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:560;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:562;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:564;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:565;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:567;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:568;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:572;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:573;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:589;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:605;08:14:25:593;1447960463.41;(0.31596496105194094, 0.25049336751302087);26.5021247864;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:638;08:14:25:593;1447960463.41;(0.31596496105194094, 0.25049336751302087);26.5021247864;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:655;08:14:25:593;1447960463.41;(0.31596496105194094, 0.25049336751302087);26.5021247864;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:671;08:14:25:661;1447960463.48;(0.31557180881500246, 0.2501152886284722);27.2529659271;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:688;08:14:25:661;1447960463.48;(0.31557180881500246, 0.2501152886284722);27.2529659271;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:705;08:14:25:661;1447960463.48;(0.31557180881500246, 0.2501152886284722);27.2529659271;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:738;08:14:25:726;1447960463.54;(0.3158564567565918, 0.2502113342285156);26.7508621216;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
