%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
12:02:51:729;1448277531.34;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
12:02:51:804;12:02:51:792;1448277531.47;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:821;12:02:51:792;1448277531.47;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:838;12:02:51:792;1448277531.47;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:855;12:02:51:792;1448277531.47;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:871;12:02:51:856;1448277531.54;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:072;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:076;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:079;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:080;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:081;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:082;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:084;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:085;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:086;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:087;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:089;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:090;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:091;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:092;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:094;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:095;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:108;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:109;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:111;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:126;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:160;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:178;12:02:57:036;1448277536.74;(0.2991493225097656, 0.18941226535373268);19.2626552582;0.778280729698;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:193;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:210;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:227;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:260;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:277;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:293;12:02:57:192;1448277536.87;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:309;12:02:57:300;1448277537.0;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:326;12:02:57:300;1448277537.0;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:360;12:02:57:300;1448277537.0;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:376;12:02:57:367;1448277537.07;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:393;12:02:57:367;1448277537.07;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:410;12:02:57:367;1448277537.07;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:427;12:02:57:367;1448277537.07;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:460;12:02:57:432;1448277537.14;(0.3223942041397095, 0.20268105400933156);23.1146793365;0.705033709511;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:478;12:02:57:432;1448277537.14;(0.3223942041397095, 0.20268105400933156);23.1146793365;0.705033709511;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:493;12:02:57:432;1448277537.14;(0.3223942041397095, 0.20268105400933156);23.1146793365;0.705033709511;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:510;12:02:57:500;1448277537.2;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:528;12:02:57:500;1448277537.2;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:560;12:02:57:500;1448277537.2;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:577;12:02:57:568;1448277537.27;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:593;12:02:57:568;1448277537.27;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:610;12:02:57:568;1448277537.27;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:627;12:02:57:568;1448277537.27;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:660;12:02:57:631;1448277537.34;(0.3160897970199585, 0.2037550184461806);24.0003967285;0.664036251552;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:677;12:02:57:631;1448277537.34;(0.3160897970199585, 0.2037550184461806);24.0003967285;0.664036251552;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:693;12:02:57:631;1448277537.34;(0.3160897970199585, 0.2037550184461806);24.0003967285;0.664036251552;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:57:710;12:02:57:701;1448277537.4;(0, 0);0;0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
