%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
04:23:01:686;;;;;;;;;;;;;;1447946579.32;(0.3218050479888916, 0.8092632505628798);36.2050132751;1.0;2;0;0;0;0;();(0.0, 0.0);
04:23:01:694;;;;;;;;;;;;;;1447946579.32;(0.3218050479888916, 0.8092632505628798);36.2050132751;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:132;;;;;;;;;;;;;;04:23:04:115;1447946581.79;(0.32154738903045654, 0.8100369347466363);35.7997016907;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:148;;;;;;;;;;;;;;04:23:04:115;1447946581.79;(0.32154738903045654, 0.8100369347466363);35.7997016907;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:165;;;;;;;;;;;;;;04:23:04:115;1447946581.79;(0.32154738903045654, 0.8100369347466363);35.7997016907;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:183;;;;;;;;;;;;;;04:23:04:115;1447946581.79;(0.32154738903045654, 0.8100369347466363);35.7997016907;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:198;;;;;;;;;;;;;;04:23:04:183;1447946581.85;(0.3215953350067139, 0.8098322762383355);36.3923721313;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:231;;;;;;;;;;;;;;04:23:04:183;1447946581.85;(0.3215953350067139, 0.8098322762383355);36.3923721313;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:248;;;;;;;;;;;;;;04:23:04:246;1447946581.92;(0.32174232006073, 0.8093875037299262);36.2524490356;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:264;;;;;;;;;;;;;;04:23:04:246;1447946581.92;(0.32174232006073, 0.8093875037299262);36.2524490356;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:281;;;;;;;;;;;;;;04:23:04:246;1447946581.92;(0.32174232006073, 0.8093875037299262);36.2524490356;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:298;;;;;;;;;;;;;;04:23:04:246;1447946581.92;(0.32174232006073, 0.8093875037299262);36.2524490356;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:319;;;;;;;;;;;;;;04:23:04:314;1447946581.99;(0.32149734497070315, 0.8099203533596463);36.1969680786;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:338;;;;;;;;;;;;;;04:23:04:314;1447946581.99;(0.32149734497070315, 0.8099203533596463);36.1969680786;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:373;;;;;;;;;;;;;;04:23:04:314;1447946581.99;(0.32149734497070315, 0.8099203533596463);36.1969680786;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:390;;;;;;;;;;;;;;04:23:04:382;1447946582.05;(0.32132754325866697, 0.8101506127251519);36.3087654114;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:406;;;;;;;;;;;;;;04:23:04:382;1447946582.05;(0.32132754325866697, 0.8101506127251519);36.3087654114;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:423;;;;;;;;;;;;;;04:23:04:382;1447946582.05;(0.32132754325866697, 0.8101506127251519);36.3087654114;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:440;;;;;;;;;;;;;;04:23:04:382;1447946582.05;(0.32132754325866697, 0.8101506127251519);36.3087654114;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:475;;;;;;;;;;;;;;04:23:04:446;1447946582.12;(0.32112367153167726, 0.8100525538126627);36.2313652039;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:490;;;;;;;;;;;;;;04:23:04:446;1447946582.12;(0.32112367153167726, 0.8100525538126627);36.2313652039;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:522;;;;;;;;;;;;;;04:23:04:514;1447946582.19;(0.3216047763824463, 0.8091431935628255);36.4000892639;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:526;;;;;;;;;;;;;;04:23:04:514;1447946582.19;(0.3216047763824463, 0.8091431935628255);36.4000892639;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:542;;;;;;;;;;;;;;04:23:04:514;1447946582.19;(0.3216047763824463, 0.8091431935628255);36.4000892639;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:558;;;;;;;;;;;;;;04:23:04:514;1447946582.19;(0.3216047763824463, 0.8091431935628255);36.4000892639;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:591;;;;;;;;;;;;;;04:23:04:582;1447946582.25;(0.3219355344772339, 0.8095221201578776);36.254119873;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:608;;;;;;;;;;;;;;04:23:04:582;1447946582.25;(0.3219355344772339, 0.8095221201578776);36.254119873;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:625;;;;;;;;;;;;;;04:23:04:582;1447946582.25;(0.3219355344772339, 0.8095221201578776);36.254119873;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:642;;;;;;;;;;;;;;04:23:04:582;1447946582.25;(0.3219355344772339, 0.8095221201578776);36.254119873;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:658;;;;;;;;;;;;;;04:23:04:650;1447946582.32;(0.32205326557159425, 0.8098713556925455);35.5302581787;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:691;;;;;;;;;;;;;;04:23:04:650;1447946582.32;(0.32205326557159425, 0.8098713556925455);35.5302581787;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:708;;;;;;;;;;;;;;04:23:04:650;1447946582.32;(0.32205326557159425, 0.8098713556925455);35.5302581787;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:733;;;;;;;;;;;;;;04:23:04:714;1447946582.39;(0.3213474750518799, 0.8096192253960504);35.9617500305;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:750;;;;;;;;;;;;;;04:23:04:714;1447946582.39;(0.3213474750518799, 0.8096192253960504);35.9617500305;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:296;04:23:05:293;0;10;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:299;04:23:05:299;0;10;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:302;04:23:05:302;0;10;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:305;04:23:05:305;0;5;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:308;04:23:05:308;0;5;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:310;04:23:05:310;0;5;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:312;04:23:05:312;0;5;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:05:314;04:23:05:314;0;6;-1.5;1;0;0;0;0;1;1;1;1;04:23:05:250;1447946582.92;(0.3214555025100708, 0.8099777645534939);35.6967277527;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
