%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:50:637;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:670;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:686;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:702;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:720;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:737;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:770;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:787;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:803;04:37:50:686;1448034828.76;(0.33206658363342284, 0.7685150782267253);21.6760292053;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:820;04:37:50:817;1448034828.79;(0.5236398220062256, 0.69166013929579);70.6214675903;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:837;04:37:50:817;1448034828.79;(0.5236398220062256, 0.69166013929579);70.6214675903;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:870;04:37:50:817;1448034828.79;(0.5236398220062256, 0.69166013929579);70.6214675903;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
