%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
09:12:08:700;1448051286.61;(0.4376994609832764, 0.4017458173963758);58.9028587341;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
09:12:10:760;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:763;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:765;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:767;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:770;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:772;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:775;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:777;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:780;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:782;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:784;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:786;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:787;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:788;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:789;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:818;09:12:10:811;1448051288.71;(0.32440767288208006, 0.14498511420355897);26.6142139435;0.712362131538;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:835;09:12:10:811;1448051288.71;(0.32440767288208006, 0.14498511420355897);26.6142139435;0.712362131538;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:853;09:12:10:811;1448051288.71;(0.32440767288208006, 0.14498511420355897);26.6142139435;0.712362131538;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:869;09:12:10:811;1448051288.71;(0.32440767288208006, 0.14498511420355897);26.6142139435;0.712362131538;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:885;09:12:10:879;1448051288.78;(0.36721510887145997, 0.18983205159505212);20.1461162567;0.791397398477;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:919;09:12:10:879;1448051288.78;(0.36721510887145997, 0.18983205159505212);20.1461162567;0.791397398477;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:933;09:12:10:879;1448051288.78;(0.36721510887145997, 0.18983205159505212);20.1461162567;0.791397398477;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:952;09:12:10:944;1448051288.85;(0.2407224655151367, 0.12366494072808165);37.5801429749;0.637945150262;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:969;09:12:10:944;1448051288.85;(0.2407224655151367, 0.12366494072808165);37.5801429749;0.637945150262;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:985;09:12:10:944;1448051288.85;(0.2407224655151367, 0.12366494072808165);37.5801429749;0.637945150262;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:018;09:12:11:011;1448051288.97;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:035;09:12:11:011;1448051288.97;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:052;09:12:11:011;1448051288.97;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:067;09:12:11:011;1448051288.97;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:084;09:12:11:076;1448051289.04;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:118;09:12:11:076;1448051289.04;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:135;09:12:11:076;1448051289.04;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:152;09:12:11:144;1448051289.11;(0.4175973892211914, 0.4258614857991536);66.8507080078;0.983879215526;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:169;09:12:11:144;1448051289.11;(0.4175973892211914, 0.4258614857991536);66.8507080078;0.983879215526;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:185;09:12:11:144;1448051289.11;(0.4175973892211914, 0.4258614857991536);66.8507080078;0.983879215526;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:219;09:12:11:213;1448051289.17;(0.41760094165802003, 0.42903446621365016);66.6748046875;0.928370376973;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:235;09:12:11:213;1448051289.17;(0.41760094165802003, 0.42903446621365016);66.6748046875;0.928370376973;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:252;09:12:11:213;1448051289.17;(0.41760094165802003, 0.42903446621365016);66.6748046875;0.928370376973;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:269;09:12:11:213;1448051289.17;(0.41760094165802003, 0.42903446621365016);66.6748046875;0.928370376973;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:285;09:12:11:276;1448051289.24;(0.41865148544311526, 0.43083746168348525);67.6911392212;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:319;09:12:11:276;1448051289.24;(0.41865148544311526, 0.43083746168348525);67.6911392212;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:336;09:12:11:276;1448051289.24;(0.41865148544311526, 0.43083746168348525);67.6911392212;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:353;09:12:11:343;1448051289.31;(0.42067980766296387, 0.4277349683973525);68.2095718384;0.852351813171;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:369;09:12:11:343;1448051289.31;(0.42067980766296387, 0.4277349683973525);68.2095718384;0.852351813171;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:386;09:12:11:343;1448051289.31;(0.42067980766296387, 0.4277349683973525);68.2095718384;0.852351813171;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:419;09:12:11:343;1448051289.31;(0.42067980766296387, 0.4277349683973525);68.2095718384;0.852351813171;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:963;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:960;0;10;-1.30645161290323;1;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:966;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:966;0;10;-1.30645161290323;1;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:969;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:969;0;10;-1.30645161290323;1;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:972;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:972;0;10;-1.30645161290323;1;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:974;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:974;0;5;-1.24516129032258;1.00097847358121;1.46627565982405;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:11:977;09:12:11:940;1448051289.91;(0.4379164695739746, 0.41187739902072484);59.6214904785;1.0;09:12:11:977;0;5;-1.24516129032258;1.00097847358121;1.46627565982405;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
